,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Producto,Tipo,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,2026-02-01 00:00:00,2026-03-01 00:00:00,2026-04-01 00:00:00,2026-05-01 00:00:00,2026-06-01 00:00:00,2026-07-01 00:00:00,2026-08-01 00:00:00,2026-09-01 00:00:00,2026-10-01 00:00:00,2026-11-01 00:00:00,2026-12-01 00:00:00,2026-01-01 00:00:00,2026-02-01 00:00:00,2026-03-01 00:00:00,2026-04-01 00:00:00,2026-05-01 00:00:00,2026-06-01 00:00:00,2026-07-01 00:00:00,2026-08-01 00:00:00,2026-09-01 00:00:00,2026-10-01 00:00:00,2026-11-01 00:00:00,2026-12-01 00:00:00,FY2024,FY2025,FYB2026,Avg2024,Avg2025,AvgB2026,Avg Last 4 Months,Avg Last 4 Months -1,,,,,,,,,
1,APA BOTELLON 18.9 LTS (x1),Ventas Netas DOP,123424716.41999991,114997994.38000026,123984626.70999981,138811260.07000005,133544804.5999999,139702946.63,145508213.3,142067987,142429803,149972665.04,123202508,123966398,132566182,123201257,146563432.2,138262583,153356447,145182996,156053586.17,162722558.11,163049007.57000002,156243451.89999998,138857890.74,140149803.84999996,134820275.913373,131598888.15812199,145577899.67638302,150469223.02466995,,,,,,,,,137339936.51523706,128989729.95478615,154918745.5930753,146784064.69097596,156795726.59611845,156795726.59611845,180728557.79857174,174187803.92118683,164440782.56949928,167518765.15556762,156424892.05267033,144241155.48496163,1601613923.1499999,1756209195.5399997,562466286.772548,133467826.92916666,146350766.295,140616571.693137,149575038.515,154328896.82,,,,,,,,,
2,APA BOTELLA 0.5 LTS ( x20),Ventas Netas DOP,140268503.19999894,129590925.96000199,147118707.709999,137191801.90000015,143938559.13999912,179493424.3300007,167166070.07998955,125196241.8499988,160056906.01999736,156499396.29999757,137646959.46999514,130871591.70999345,181654896.13999858,90699475.94999827,145682969.54999858,119820393.60999823,152491174.8100003,142880464,171396219.69000074,168383338.29000035,181589722.15,136248424.05,133727004.69000036,141122580.39000088,141966016.07406095,121602322.67376214,152246321.35505253,154193315.7086457,,,,,,,,,146079916.68,147841697.68,150551547.68,160148679.54,162893540.64,164648910.54,176823231.28000003,182461599.88000003,176781844.48000002,177086233.76,150026150.06,152766843.56,1755039087.6699715,1765696663.3199964,570007975.8115213,146253257.30583096,147141388.6099997,142501993.95288032,148171932.82000032,158787799.19750035,,,,,,,,,
3,APA BOTELLA 1.5 LTS (x12),Ventas Netas DOP,8011680.629999965,7596185.969999966,8186605.999999967,8451320.439999972,7859021.159999957,10940567.930000037,10826493.219999997,9007298.89999998,8952736.739999983,12096346.200000001,8784370.279999983,7692221.779999977,11172224.099999987,7566204.33,10027701.16,9980401.239999998,11347645.290000003,11716416,15993757.91,13709940.04,15894775.11,10448754.940000001,14552981.22,13175400.190000001,14268588.935112001,12719049.862846998,15251606.262343997,14508584.220249001,,,,,,,,,12735176.988230767,12811187.068230767,13251122.889689663,14106315.949671043,14280429.509671044,16717699.485506626,17455279.658267517,17138857.401999127,16903845.341999125,13610859.05827322,13426517.868230766,13539590.658230765,108404849.24999978,145586201.53,56747829.280552,9033737.437499981,12132183.460833333,14186957.320138,13517977.865000002,13191939.81,,,,,,,,,
4,APA OTRAS,Ventas Netas DOP,6383051.370000003,5736203.940000004,6050782.070000003,6384042.860000001,5876356.460000002,6628283.760000003,5448257.4300000025,5563605.890000004,5563867.560000001,6744124.500000003,4826863.530000003,6311696.620000003,5662142.490000003,5658383.039999999,6424449.949999999,5952482.140000001,5873418.8100000005,7606265,7027423.33,7440020.309999999,6266438.49,6384981.659999999,8122977.32,6216439.26,7783583.849310992,7853567.197624989,8808128.937863994,7862703.408306992,0,0,0,0,0,0,0,0,6600900.692549104,6632649.341111405,6664091.77242131,7298006.9597278815,7521028.426400946,7560686.292215643,9638727.375904104,9671878.2417188,9696971.762485575,8912206.807806915,8941207.212089792,8971256.643399695,71517135.99000002,78635421.8,32307983.393106967,5959761.332500002,6552951.816666666,2692331.9494255804,6747709.182499999,6986781.8625,,,,,,,,,
1,APA BOTELLON 18.9 LTS (x1),Volumen Unidades,2176634,2030863,2180434,2312088,2225994,2334040,2430715,2384434,2390100,2516669,2064104,2084073,2170623,1980412,2352573,2220469,2469100,2331867,2496451,2558912,2557490,2462997,2178145,2205919,2148881,2089948,2309806,2251659.15,,,,,,,,,2195135,2059194,2475895,2346040,2505873,2505873,2826854,2724942,2573073,2614791,2441937,2252101,27130148,27984958,8800294.15,2260845.6666666665,2332079.8333333335,2200073.5375,2351137.75,2464082.5,,,,,,,,,
2,APA BOTELLA 0.5 LTS ( x20),Volumen Unidades,1134706,1037916,1187039,1103327,1150192,1474031,1362711,1012205.3,1264155,1243944.7799999998,1096898,1043258,1383241.55,632805,1027857.45,853165,1164595,1107604,1368218,1352074,1471881,1113655,1084551,1142072,1150768,985282,1224105,1241195,,,,,,,,,1185295,1193230,1216043,1292639,1313304,1329489,1425239,1467066,1426375,1425183,1203224,1224573,14110383.08,13701719,4601350,1175865.2566666666,1141809.9166666667,1150337.5,1203039.75,1248122.75,,,,,,,,,
3,APA BOTELLA 1.5 LTS (x12),Volumen Unidades,33103,31623,33905,34924,32282,47374,47996,39108.67,39047,53374,38771,35120,49568,30247,42205,41671,46862,47157,68700,59431,63754,44507,63756,60235,64515,57945,68328,62934,,,,,,,,,55653,55921,57811,60307,60941,72589,75961.5,74849.5,73117,58732,58136,58535,466627.67,618093,253722,38885.63916666667,51507.75,63430.5,58063,55537.5,,,,,,,,,
4,APA OTRAS,Volumen Unidades,23915,22399,23490,24161,21738,25444,19875,21420.67,20828,25236,19360,23775,21734,20636,24791,22936,21870,37899,30096,33621,29642,29249,31555,22674,31241,31062,36029,30779,0,0,0,0,0,0,0,0,28126,28235,28343,30770,33484,33622,53945,54059,54146,49193,49291,49394,271641.67,326703,129111,22636.805833333332,27225.25,10759.25,28280,30871.5,,,,,,,,,
TOTAL,3693.776083333333,3980.526941666667,0.07763081785795856,3884.729,3613.4059200000006,3954.0436700000005,2992.47176,3901.2384500000003,3546.8509999999997,3615.2899500000003,3744.0080000000003,3668.581,3448.6330000000007,3928.8120000000004,3895.5491500000007,3697.5085000000004,0.02274189653861658,,,,,,,,,Volumen Unidades,,,,
AGUA PLANETA AZUL,3554.608083333333,3552.6227500000005,-0.0005585238335110709,3729.756,3186.226,3625.1665500000004,2664.1,3447.42645,3138.241,3230.7297500000004,3430.9,3395.4049999999997,3164.237,3638.268,3586.5671500000003,3407.2025000000003,0.0546231853654735,,,,,,,,,,,,,
APA BOTELLON 18.9 LTS (x1),2298.7389166666667,2332.0798333333337,0.014504003227566953,2346.04,2084.073,2170.623,1980.412,2352.573,2220.469,2146.92025,2205.919,2148.881,2089.948,2309.806,2251.65915,2188.6385,0.0194316719496217,,,,,,,,,,,,,
APA BOTELLA 0.5 LTS ( x20),1189.5145,1141.8099166666668,-0.04010424701282178,1292.639,1043.258,1383.24155,632.805,1027.85745,853.165,1021.7905,1142.072,1150.768,985.282,1224.105,1241.195,1125.5567500000002,0.10155335168999935,,,,,,,,,,,,,
APA BOTELLA 1.5 LTS (x12),39.88475,51.50775,0.2914146384269678,60.307,35.12,49.568,30.247,42.205,41.671,39.285,60.235,64.515,57.945,68.328,62.934,62.75575,0.5974481354206442,,,,,,,,,,,,,
APA OTRAS,26.469916666666666,27.22525,0.0285355387720021,30.77,23.775,21.734,20.636,24.791,22.936,22.733999999999998,22.674,31.241,31.062,36.029,30.779,30.2515,0.3306721210521686,,,,,,,,,,,,,
MAQUILAS,89.84449999999998,99.99933333333333,0.11302676661713673,95.86,103.77,87.878,88.203,110.386,114.28500000000001,97.55924999999999,93.896,81.496,93.818,89.05399999999999,94.254,89.56599999999999,-0.0819322616768785,,,,,,,,,,,,,
TOTAL,328.9747473258334,342.241640805,0.04032799960182465,347.25738338374816,293.76425274999343,358.0848606263985,253.57730939599827,336.20044097659854,304.44012107099826,310.40671593724716,321.98174767240084,317.60443635008,293.1570663470991,342.27867953168055,349.08064345893666,326.9243043564144,0.053212728884727056,,,,,,,,,,,,,
AGUA PLANETA AZUL,296.73688001947426,311.6404728097166,0.05022494268074884,328.33706714037487,268.8419081099934,331.05544472999856,227.12532031999825,308.69855285999853,274.01585998999826,283.9303065049972,300.6642236900009,298.838464771857,273.7738278923561,321.8839562316436,327.03382636187166,298.79011814646435,0.05233612369310636,,,,,,,,,,,,,
APA BOTELLON 18.9 LTS (x1),133.92139734750006,145.857271305,0.08912596637958203,146.78406469097595,123.966398,132.566182,123.201257,146.5634322,138.262583,131.5743173,140.14980384999996,134.820275913373,131.59888815812198,145.57789967638303,150.46922302466996,138.0367168994695,0.049115965274094675,,,,,,,,,,,,,
